,,fog,hail,maxtempm,meantempm,meanvism,meanwindspdm,mintempm,precipm,rain,snow,state,thunder,tornado,ArrDelay
01/01/07,ANC,0,0,-1,-3,8.0,29,-6,404.88,0,0,AK,0,0,0.5
01/01/07,ATL,0,0,15,9,16.0,11,4,0,0,0,GA,0,0,5.3359375
01/01/07,DEN,0,0,0,-4,14.0,10,-8,0,0,0,CO,0,0,10.512
01/01/07,DFW,0,0,14,9,16.0,14,4,0,0,0,TX,0,0,24.7185185185
01/01/07,HNL,0,0,29,26,15.0,14,22,0,1,0,HI,0,0,56.4782608696
01/01/07,LAX,0,0,19,14,8.0,1,8,0,0,0,CA,0,0,17.264
01/01/07,LGA,1,0,13,11,5.0,6,7,38.61,1,0,NY,0,0,6.94047619048
01/01/07,MCO,0,0,24,22,16.0,16,19,0,1,0,FL,0,0,2.39130434783
01/01/07,ORD,0,0,6,2,16.0,21,-2,0,0,0,IL,0,0,15.0814814815
01/01/07,PHX,0,0,17,12,16.0,4,6,0,0,0,AZ,0,0,9.20952380952
01/02/07,ANC,0,0,4,2,11.0,21,1,2605.02,0,0,AK,0,0,-20.0
01/02/07,ATL,0,0,5,3,6.0,8,1,17.78,1,0,GA,0,0,27.5344827586
01/02/07,DEN,0,0,-8,-13,8.0,11,-20,4.06,0,1,CO,0,0,24.0967741935
01/02/07,DFW,0,0,14,11,9.0,11,7,3.05,1,0,TX,0,0,34.7419354839
01/02/07,HNL,0,0,27,23,16.0,19,18,1.78,1,0,HI,0,0,-12.380952381
01/02/07,LAX,0,0,17,14,16.0,1,12,0,0,0,CA,0,0,10.5537190083
01/02/07,LGA,0,0,1,-1,16.0,9,-3,0,0,0,NY,0,0,23.3555555556
01/02/07,MCO,0,0,26,19,16.0,16,12,1.27,1,0,FL,0,0,33.6197183099
01/02/07,ORD,0,0,-4,-8,13.0,19,-12,T,0,1,IL,0,0,9.97122302158
01/02/07,PHX,0,0,16,12,16.0,11,7,0,0,0,AZ,0,0,11.6226415094
01/03/07,ANC,0,0,4,1,10.0,31,-1,0.51,0,0,AK,0,0,28.0
01/03/07,ATL,1,0,19,14,9.0,10,10,31.5,1,0,GA,0,0,65.2877697842
01/03/07,DEN,0,0,-1,-6,14.0,19,-10,0,0,0,CO,0,0,19.6923076923
01/03/07,DFW,0,0,25,18,15.0,18,11,0.25,0,0,TX,0,0,33.1111111111
01/03/07,HNL,0,0,28,25,16.0,20,22,0,0,0,HI,0,0,10.2272727273
01/03/07,LAX,0,0,19,14,16.0,6,8,0,0,0,CA,0,0,15.5203252033
01/03/07,LGA,0,0,8,4,15.0,7,1,3.56,1,0,NY,0,0,54.3176470588
01/03/07,MCO,0,0,29,23,16.0,16,17,0,0,0,FL,0,0,42.5753424658
01/03/07,ORD,0,0,7,4,7.0,27,0,27.69,1,1,IL,1,0,92.4765625
01/03/07,PHX,0,0,18,11,16.0,9,4,0,0,0,AZ,0,0,23.1308411215
01/04/07,ANC,0,0,5,4,10.0,19,3,0,1,0,AK,0,0,-1.0
01/04/07,ATL,1,0,21,19,13.0,10,17,3.3,1,0,GA,0,0,18.2836879433
01/04/07,DEN,0,0,19,11,11.0,11,3,0,0,0,CO,0,0,8.56923076923
01/04/07,DFW,0,0,28,24,15.0,8,19,5.33,1,0,TX,0,0,17.4814814815
01/04/07,HNL,0,0,26,23,16.0,9,19,1.52,1,0,HI,0,0,-1.5
01/04/07,LAX,0,0,24,18,8.0,2,12,0,0,0,CA,0,0,25.5161290323
01/04/07,LGA,0,0,10,8,12.0,9,6,1.52,1,0,NY,0,0,11.1235955056
01/04/07,MCO,0,0,29,21,16.0,10,14,0,0,0,FL,0,0,5.34666666667
01/04/07,ORD,0,0,16,12,16.0,28,8,2.29,1,0,IL,0,0,26.9444444444
01/04/07,PHX,0,0,32,23,16.0,8,15,0,0,0,AZ,0,0,16.0789473684
01/05/07,ANC,0,0,3,2,16.0,14,1,0,0,0,AK,0,0,8.2
01/05/07,ATL,0,0,31,21,14.0,2,12,0,0,0,GA,0,0,-0.847222222222
01/05/07,DEN,0,0,19,14,11.0,10,9,0,1,0,CO,1,0,3.35714285714
01/05/07,DFW,0,0,28,23,16.0,16,18,0,0,0,TX,0,0,9.16176470588
01/05/07,HNL,0,0,29,26,16.0,24,23,T,0,0,HI,0,0,-2.25
01/05/07,LAX,0,0,23,19,11.0,4,15,0,0,0,CA,0,0,2.54621848739
01/05/07,LGA,0,0,22,16,14.0,6,11,8.13,1,0,NY,0,0,8.87912087912
01/05/07,MCO,0,0,31,24,16.0,8,18,0,0,0,FL,0,0,2.17391304348
01/05/07,ORD,0,0,28,19,16.0,15,10,0,0,0,IL,0,0,-0.643356643357
01/05/07,PHX,0,0,32,28,16.0,13,24,T,1,0,AZ,1,0,5.28971962617
01/06/07,ANC,0,0,6,4,15.0,13,4,3.3,0,0,AK,0,0,26.2857142857
01/06/07,ATL,0,0,31,24,9.0,3,17,0,0,0,GA,0,0,9.38
01/06/07,DEN,0,0,18,12,,8,6,0,0,0,CO,0,0,10.7874015748
01/06/07,DFW,0,0,31,26,16.0,12,21,0,0,0,TX,0,0,12.5289855072
01/06/07,HNL,0,0,31,27,16.0,13,23,0,0,0,HI,0,0,0.913043478261
01/06/07,LAX,0,0,22,18,11.0,2,14,0,0,0,CA,0,0,10.6694214876
01/06/07,LGA,0,0,31,24,14.0,5,18,T,0,0,NY,0,0,30.8522727273
01/06/07,MCO,0,0,29,23,13.0,13,19,6.1,1,0,FL,0,0,6.72602739726
01/06/07,ORD,0,0,29,23,13.0,10,17,4.83,1,0,IL,1,0,30.9071428571
01/06/07,PHX,0,0,40,32,16.0,12,24,0,0,0,AZ,0,0,14.1981132075
01/07/07,ANC,0,0,9,8,15.0,6,7,0.25,0,0,AK,0,0,24.0833333333
01/07/07,ATL,0,0,34,28,11.0,3,22,0,1,0,GA,0,0,30.9276315789
01/07/07,DEN,0,0,36,27,11.0,16,18,0,0,0,CO,0,0,18.8358208955
01/07/07,DFW,0,0,29,26,14.0,7,23,10.16,1,0,TX,1,0,78.0238095238
01/07/07,HNL,0,0,31,27,16.0,21,23,T,1,0,HI,0,0,17.6
01/07/07,LAX,0,0,30,24,16.0,3,18,0,0,0,CA,0,0,30.3777777778
01/07/07,LGA,0,0,23,20,16.0,8,16,0,1,0,NY,0,0,20.2068965517
01/07/07,MCO,0,0,36,29,15.0,6,23,9.91,1,0,FL,1,0,45.5657894737
01/07/07,ORD,0,0,24,18,16.0,14,12,0,0,0,IL,0,0,13.3404255319
01/07/07,PHX,0,0,45,37,16.0,11,28,0,0,0,AZ,0,0,29.9904761905
01/08/07,ANC,0,0,13,10,15.0,10,9,2.03,0,0,AK,0,0,8.63636363636
01/08/07,ATL,0,0,33,27,10.0,2,21,0,0,0,GA,0,0,8.58598726115
01/08/07,DEN,0,0,31,23,13.0,10,17,0,0,0,CO,1,0,22.4090909091
01/08/07,DFW,0,0,35,30,16.0,10,24,T,1,0,TX,1,0,62.0071942446
01/08/07,HNL,0,0,32,28,16.0,18,24,T,0,0,HI,0,0,-3.16
01/08/07,LAX,0,0,28,24,9.0,3,19,0,0,0,CA,0,0,23.6978417266
01/08/07,LGA,0,0,32,27,16.0,4,22,0,0,0,NY,0,0,12.9893617021
01/08/07,MCO,0,0,32,27,12.0,6,23,32.26,1,0,FL,1,0,29.1168831169
01/08/07,ORD,0,0,33,27,15.0,7,21,0,0,0,IL,0,0,16.0753424658
01/08/07,PHX,0,0,37,32,16.0,10,27,T,0,0,AZ,1,0,27.0088495575
01/09/07,ANC,0,0,14,12,16.0,13,10,0,0,0,AK,0,0,-4.08333333333
01/09/07,ATL,0,0,32,26,7.0,5,21,0,0,0,GA,0,0,-4.68333333333
01/09/07,DEN,0,0,30,22,11.0,8,15,0,0,0,CO,0,0,1.42727272727
01/09/07,DFW,0,0,33,28,10.0,11,23,9.91,1,0,TX,1,0,0.74358974359
01/09/07,HNL,0,0,31,27,15.0,20,23,6.1,1,0,HI,0,0,-8.86363636364
01/09/07,LAX,0,0,35,29,16.0,2,23,0,0,0,CA,0,0,7.73770491803
01/09/07,LGA,0,0,26,22,16.0,11,18,0,0,0,NY,0,0,-14.0921052632
01/09/07,MCO,0,0,32,28,15.0,10,24,1.78,1,0,FL,1,0,9.47826086957
01/09/07,ORD,0,0,27,21,16.0,8,14,0,0,0,IL,0,0,-4.29921259843
01/09/07,PHX,0,0,44,38,16.0,11,32,0,0,0,AZ,1,0,8.02272727273
01/10/07,ANC,0,0,9,8,16.0,34,8,0,0,0,AK,0,0,-0.5
01/10/07,ATL,0,0,28,19,16.0,5,11,0,0,0,GA,0,0,-4.11920529801
01/10/07,DEN,0,0,23,14,11.0,13,6,0,0,0,CO,0,0,2.95161290323
01/10/07,DFW,0,0,33,29,14.0,9,24,0,0,0,TX,0,0,2.36690647482
01/10/07,HNL,0,0,29,27,16.0,21,24,T,0,0,HI,0,0,6.28571428571
01/10/07,LAX,0,0,27,21,14.0,1,15,0,0,0,CA,0,0,2.16279069767
01/10/07,LGA,0,0,21,18,16.0,4,15,0,0,0,NY,0,0,-5.66666666667
01/10/07,MCO,0,0,30,26,15.0,14,23,5.84,1,0,FL,1,0,0.671641791045
01/10/07,ORD,1,0,21,18,11.0,13,15,7.37,1,0,IL,1,0,8.76923076923
01/10/07,PHX,0,0,33,30,16.0,7,27,0,0,0,AZ,0,0,0.641509433962
01/11/07,ANC,0,0,4,3,14.0,29,2,1.52,0,0,AK,0,0,-13.5
01/11/07,ATL,0,0,25,17,14.0,3,9,0,0,0,GA,0,0,-6.40131578947
01/11/07,DEN,0,0,18,9,11.0,10,0,0,0,0,CO,0,0,1.28925619835
01/11/07,DFW,1,0,28,22,12.0,5,14,0,0,0,TX,0,0,0.187050359712
01/11/07,HNL,0,0,29,26,15.0,15,22,3.81,1,0,HI,0,0,4.27272727273
01/11/07,LAX,0,0,20,17,7.0,1,13,0,0,0,CA,0,0,0.674418604651
01/11/07,LGA,0,0,19,14,16.0,8,10,0,0,0,NY,0,0,4.13043478261
01/11/07,MCO,0,0,28,26,16.0,19,23,1.02,1,0,FL,0,0,-0.176470588235
01/11/07,ORD,0,0,12,7,16.0,9,2,0,0,0,IL,0,0,1.87323943662
01/11/07,PHX,0,0,30,23,16.0,5,15,0,0,0,AZ,0,0,-0.401869158879
01/12/07,ANC,0,0,5,4,15.0,10,3,0,0,0,AK,0,0,12.5
01/12/07,ATL,0,0,18,9,16.0,3,1,0,0,0,GA,0,0,1.832
01/12/07,DEN,0,0,6,-1,7.0,8,-8,0,1,0,CO,0,0,9.75789473684
01/12/07,DFW,0,0,23,19,15.0,17,14,T,0,0,TX,0,0,1.57943925234
01/12/07,HNL,0,0,27,25,15.0,20,23,0.51,1,0,HI,0,0,25.3043478261
01/12/07,LAX,0,0,16,12,14.0,5,8,0,0,0,CA,0,0,9.84403669725
01/12/07,LGA,0,0,3,0,16.0,12,-4,0,0,0,NY,0,0,1.18181818182
