Airport,Date,city,fog,hail,maxtempm,meantempm,meanvism,meanwindspdm,mintempm,precipm,rain,snow,state,thunder,tornado,ArrDelay_mean,LateArrMean,LatePercnt,ArrClass
ORD,01/01/2007,Chicago,0,0,6,2,16,21,-2,0,0,0,IL,0,0,13.54756871,34.13320463,54.75687104,0
ORD,02/01/2007,Chicago,0,0,6,2,16,15,-3,0,0,0,IL,0,0,6.905733722,26.75051975,46.74441205,0
ORD,03/01/2007,Chicago,0,0,9,5,16,25,1,0,0,0,IL,0,0,0.011571842,21.1875,37.02989392,0
ORD,04/01/2007,Chicago,0,0,11,8,13,28,4,16.76,1,0,IL,0,0,43.01085884,77.42583732,61.89536032,1
ORD,05/01/2007,Chicago,0,0,10,8,12,13,6,0.76,1,0,IL,0,0,4.756050339,36.65473146,37.85091965,0
ORD,06/01/2007,Chicago,0,0,6,2,14,14,-2,0.51,1,0,IL,0,0,-0.971270718,25.9209622,32.15469613,0
ORD,07/01/2007,Chicago,0,0,5,1,13,14,-3,1.27,1,1,IL,0,0,2.293359762,23.82650602,41.12983152,0
ORD,08/01/2007,Chicago,0,0,4,1,16,21,-3,T,0,1,IL,0,0,-3.712523719,23.14487633,26.85009488,0
ORD,09/01/2007,Chicago,0,0,1,-2,16,25,-6,0,0,0,IL,0,0,31.68593449,56.28593041,63.68015414,1
ORD,10/01/2007,Chicago,0,0,2,-3,16,19,-8,0,0,0,IL,0,0,4.849236641,29.20334928,39.88549618,0
ORD,11/01/2007,Chicago,0,0,7,4,16,30,2,0.51,1,0,IL,0,0,34.27623762,73.5853211,53.96039604,1
ORD,12/01/2007,Chicago,0,0,9,5,9,15,1,4.83,1,1,IL,0,0,76.64904863,96.47916667,81.18393235,1
ORD,13/01/2007,Chicago,0,0,1,-1,15,19,-2,T,0,1,IL,0,0,10.54141657,29.89977221,52.70108043,0
ORD,14/01/2007,Chicago,0,0,1,0,11,17,-1,11.18,1,1,IL,0,0,34.80225989,50.11128049,74.12429379,1
ORD,15/01/2007,Chicago,0,0,1,-3,6,19,-6,5.08,1,1,IL,0,0,72.92332613,86.57808564,85.74514039,1
ORD,16/01/2007,Chicago,0,0,-5,-8,16,17,-12,T,0,1,IL,0,0,20.94583751,38.2952381,63.18956871,1
ORD,17/01/2007,Chicago,0,0,-6,-9,16,15,-13,T,0,1,IL,0,0,3.690127077,30.59424084,37.34115347,0
ORD,18/01/2007,Chicago,0,0,-1,-2,11,18,-3,T,0,1,IL,0,0,47.67430279,62.86885246,78.98406375,1
ORD,19/01/2007,Chicago,0,0,-3,-5,16,22,-8,T,0,1,IL,0,0,14.93457031,34.12307692,57.12890625,0
ORD,20/01/2007,Chicago,0,0,-3,-7,16,9,-12,0,0,0,IL,0,0,-0.56627907,23.89169675,32.20930233,0
ORD,21/01/2007,Chicago,0,0,-2,-2,5,13,-3,2.03,0,1,IL,0,0,88.83628922,97.01775148,92.22373806,1
ORD,22/01/2007,Chicago,0,0,-1,-2,13,16,-4,T,0,0,IL,0,0,19.73730469,38.00938967,62.40234375,1
ORD,23/01/2007,Chicago,0,0,-3,-4,12,19,-6,0,0,0,IL,0,0,2.028735632,20.16666667,39.65517241,0
ORD,24/01/2007,Chicago,0,0,-2,-4,14,16,-6,T,0,1,IL,0,0,1.860153257,19.49411765,40.70881226,0
ORD,25/01/2007,Chicago,0,0,-4,-7,16,15,-9,T,0,0,IL,0,0,3.015296367,20.28761062,43.21223709,0
ORD,26/01/2007,Chicago,0,0,6,0,16,23,-7,0,0,0,IL,0,0,27.95490196,41.57972973,72.54901961,1
ORD,27/01/2007,Chicago,0,0,1,-4,12,19,-9,T,0,1,IL,0,0,-1.935260116,26.75313808,27.6300578,0
ORD,28/01/2007,Chicago,0,0,-4,-9,8,21,-14,0.51,0,1,IL,0,0,38.85200411,52.08690013,79.23946557,1
ORD,29/01/2007,Chicago,0,0,-6,-9,11,15,-13,T,0,1,IL,0,0,41.78031809,55.3312263,78.62823062,1
