Abbreviation,Count of Year2,airport,city,state,lat,long
ATL,5.84%,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ORD,5.26%,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
DFW,4.75%,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
LAX,3.35%,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
IAH,2.88%,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
CVG,2.85%,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
PHX,2.39%,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
EWR,2.23%,Newark Intl,Newark,NJ,40.69249722,-74.16866056
LAS,2.21%,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
DEN,2.13%,Denver Intl,Denver,CO,39.85840806,-104.6670019
DTW,2.10%,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
SLC,2.02%,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731
MSP,2.00%,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
BOS,1.94%,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917
LGA,1.86%,LaGuardia,New York,NY,40.77724306,-73.87260917
IAD,1.85%,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
SFO,1.82%,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
PHL,1.70%,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
MCO,1.58%,Orlando International,Orlando,FL,28.42888889,-81.31602778
CLT,1.51%,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
SEA,1.47%,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
BWI,1.45%,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833
DCA,1.28%,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
MDW,1.27%,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
CLE,1.26%,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
JFK,1.23%,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
SAN,1.15%,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
TPA,1.04%,Tampa International ,Tampa,FL,27.97547222,-82.53325
OAK,1.03%,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
MIA,1.00%,Miami International,Miami,FL,25.79325,-80.29055556
FLL,0.91%,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
BNA,0.86%,Nashville International,Nashville,TN,36.12447667,-86.67818222
PIT,0.86%,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
STL,0.86%,Lambert-St Louis International,St Louis,MO,38.74768694,-90.35998972
HOU,0.84%,William P Hobby,Houston,TX,29.64541861,-95.27888889
RDU,0.84%,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
MCI,0.83%,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
SJC,0.82%,San Jose International,San Jose,CA,37.36186194,-121.9290089
PDX,0.79%,Portland Intl,Portland,OR,45.58872222,-122.5975
MSY,0.75%,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
SMF,0.69%,Sacramento International,Sacramento,CA,38.69542167,-121.5907669
DAL,0.66%,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
MEM,0.66%,Memphis International,Memphis,TN,35.04241667,-89.97666667
SNA,0.63%,John Wayne /Orange Co,Santa Ana,CA,33.67565861,-117.8682225
ABQ,0.58%,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
IND,0.58%,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
HNL,0.54%,Honolulu International,Honolulu,HI,21.31869111,-157.9224072
CMH,0.53%,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
ONT,0.53%,Ontario International,Ontario,CA,34.056,-117.6011944
SAT,0.53%,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
AUS,0.52%,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
BDL,0.49%,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
,,,,,,
DUT,,Unalaska,Unalaska,AK,53.90013889,-166.5435
HNL,,Honolulu International,Honolulu,HI,21.31869111,-157.9224072
