,Date,city,fog,hail,maxtempm,meantempm,meanvism,meanwindspdm,mintempm,precipm,rain,snow,state,thunder,tornado
0,2006-01-01,San_Francisco,0,0,17,13,14,24,8,5.08,1,0,CA,0,0
0,2006-01-02,San_Francisco,0,0,13,12,11,15,10,23.37,1,0,CA,0,0
0,2006-01-03,San_Francisco,0,0,13,11,14,18,8,1.27,1,0,CA,0,0
0,2006-01-04,San_Francisco,0,0,17,13,16,10,10,T,0,0,CA,0,0
0,2006-01-05,San_Francisco,0,0,16,12,14,6,9,0.00,0,0,CA,0,0
0,2006-01-06,San_Francisco,0,0,15,11,14,5,7,0.25,1,0,CA,0,0
0,2006-01-07,San_Francisco,0,0,16,13,14,14,10,1.78,1,0,CA,0,0
0,2006-01-08,San_Francisco,0,0,14,11,16,8,7,T,0,0,CA,0,0
0,2006-01-09,San_Francisco,0,0,13,9,16,5,5,0.00,0,0,CA,0,0
0,2006-01-10,San_Francisco,0,0,16,12,10,5,8,0.00,0,0,CA,0,0
0,2006-01-11,San_Francisco,0,0,15,12,13,15,9,1.27,1,0,CA,0,0
0,2006-01-12,San_Francisco,0,0,13,12,14,5,10,0.00,0,0,CA,0,0
0,2006-01-13,San_Francisco,0,0,18,13,12,10,7,0.76,1,0,CA,0,0
0,2006-01-14,San_Francisco,0,0,12,11,14,21,9,12.19,1,0,CA,0,0
0,2006-01-15,San_Francisco,0,0,13,9,16,15,6,0.00,0,0,CA,0,0
0,2006-01-16,San_Francisco,0,0,12,9,16,2,7,T,1,0,CA,0,0
0,2006-01-17,San_Francisco,0,0,14,11,14,8,7,4.32,1,0,CA,0,0
0,2006-01-18,San_Francisco,0,0,14,12,15,17,9,2.03,1,0,CA,0,0
0,2006-01-19,San_Francisco,0,0,12,9,16,10,7,0.00,0,0,CA,0,0
0,2006-01-20,San_Francisco,0,0,13,8,16,7,4,0.00,0,0,CA,0,0
0,2006-01-21,San_Francisco,0,0,12,10,12,6,8,1.78,1,0,CA,0,0
0,2006-01-22,San_Francisco,0,0,16,11,15,9,6,0.00,0,0,CA,0,0
0,2006-01-23,San_Francisco,0,0,18,12,16,6,5,0.00,0,0,CA,0,0
0,2006-01-24,San_Francisco,0,0,17,12,16,5,6,0.00,0,0,CA,0,0
0,2006-01-25,San_Francisco,0,0,14,10,14,13,6,T,1,0,CA,0,0
0,2006-01-26,San_Francisco,0,0,13,10,16,12,7,0.25,1,0,CA,0,0
0,2006-01-27,San_Francisco,0,0,13,11,15,10,7,1.78,1,0,CA,0,0
0,2006-01-28,San_Francisco,0,0,13,11,12,13,8,2.79,1,0,CA,0,0
0,2006-01-29,San_Francisco,0,0,14,12,16,7,9,T,0,0,CA,0,0
0,2006-01-30,San_Francisco,0,0,15,12,14,15,9,3.30,1,0,CA,0,0
0,2006-01-31,San_Francisco,0,0,13,9,16,9,6,0.00,0,0,CA,0,0
0,2006-02-01,San_Francisco,0,0,14,12,11,10,10,7.11,1,0,CA,0,0
0,2006-02-02,San_Francisco,1,0,17,14,12,11,11,0.51,1,0,CA,0,0
0,2006-02-03,San_Francisco,1,0,16,13,8,7,10,0.00,0,0,CA,0,0
0,2006-02-04,San_Francisco,0,0,15,12,15,17,9,1.02,1,0,CA,0,0
0,2006-02-05,San_Francisco,0,0,16,12,16,18,8,0.00,0,0,CA,0,0
0,2006-02-06,San_Francisco,0,0,17,12,16,5,7,0.00,0,0,CA,0,0
0,2006-02-07,San_Francisco,0,0,19,14,16,4,8,0.00,0,0,CA,0,0
0,2006-02-08,San_Francisco,0,0,23,16,16,2,8,0.00,0,0,CA,0,0
0,2006-02-09,San_Francisco,0,0,22,15,15,6,8,0.00,0,0,CA,0,0
0,2006-02-10,San_Francisco,0,0,21,14,12,10,8,0.00,0,0,CA,0,0
0,2006-02-11,San_Francisco,0,0,17,13,11,14,10,0.00,0,0,CA,0,0
0,2006-02-12,San_Francisco,1,0,18,13,9,4,8,0.00,0,0,CA,0,0
0,2006-02-13,San_Francisco,0,0,20,14,15,9,8,0.00,0,0,CA,0,0
0,2006-02-14,San_Francisco,0,0,17,12,15,29,7,0.00,0,0,CA,0,0
0,2006-02-15,San_Francisco,0,0,12,9,16,21,6,0.00,0,0,CA,0,0
0,2006-02-16,San_Francisco,0,0,12,7,16,9,3,0.00,0,0,CA,0,0
0,2006-02-17,San_Francisco,0,0,9,7,15,7,5,3.30,1,0,CA,0,0
0,2006-02-18,San_Francisco,0,0,9,7,15,7,3,6.60,1,0,CA,0,0
0,2006-02-19,San_Francisco,0,0,11,8,16,11,5,T,1,0,CA,0,0
0,2006-02-20,San_Francisco,0,0,13,8,16,9,3,0.00,0,0,CA,0,0
0,2006-02-21,San_Francisco,0,0,15,9,16,8,4,0.00,0,0,CA,0,0
0,2006-02-22,San_Francisco,0,0,17,11,16,7,4,0.00,0,0,CA,0,0
0,2006-02-23,San_Francisco,0,0,19,12,15,6,6,0.00,0,0,CA,0,0
0,2006-02-24,San_Francisco,0,0,21,13,15,5,6,0.00,0,0,CA,0,0
0,2006-02-25,San_Francisco,0,0,15,11,14,9,7,0.00,0,0,CA,0,0
0,2006-02-26,San_Francisco,0,0,15,12,12,18,9,7.37,1,0,CA,0,0
0,2006-02-27,San_Francisco,0,0,18,14,10,34,11,29.72,1,0,CA,0,0
0,2006-02-28,San_Francisco,0,0,14,11,15,17,8,2.79,1,0,CA,0,0
0,2006-03-01,San_Francisco,0,0,15,11,16,15,6,1.27,1,0,CA,0,0
0,2006-03-02,San_Francisco,0,0,14,11,16,13,7,3.30,1,0,CA,0,0
0,2006-03-03,San_Francisco,0,0,12,9,14,16,7,13.21,1,0,CA,0,0
0,2006-03-04,San_Francisco,0,0,13,9,16,12,4,0.25,0,0,CA,0,0
0,2006-03-05,San_Francisco,0,0,17,14,13,26,11,23.88,1,0,CA,0,0
0,2006-03-06,San_Francisco,0,0,15,12,14,12,8,12.45,1,0,CA,0,0
0,2006-03-07,San_Francisco,0,0,13,11,16,21,8,1.27,1,0,CA,0,0
